SubArea,Month,m,b
PS,Jan,1.0321194777054719,0.1051944921464052
JDF,Jan,1.125945171014199,0.8657065920996745
SGI,Jan,0.8996289793489598,0.6031774459969252
SSoG,Jan,1.247873151892294,-0.1812399239163689
CSoG,Jan,0.9987521571207874,1.0034959068918026
NSoG,Jan,0.6353680802865455,1.8892627139965175
DI,Jan,0.8212109416273151,1.2858358544717878
PS,Feb,0.8051162775934418,0.09010902013203681
JDF,Feb,1.0453545246952454,0.6988750509819015
SGI,Feb,0.34923745102211495,0.5874960663866955
SSoG,Feb,0.9402328295364729,0.18793806004277203
CSoG,Feb,1.127303390935308,-0.17531945968291485
NSoG,Feb,0.7882987654458252,0.06793748333099636
DI,Feb,1.0321546433467925,0.14426770931959032
PS,Mar,0.9425618024149148,0.21449536870266495
JDF,Mar,1.165450258506974,0.18362895469359974
SGI,Mar,0.9835037717147439,0.026431478736506975
SSoG,Mar,0.8378562532249174,0.0611197412091149
CSoG,Mar,0.9844427066356191,0.08242560306309987
NSoG,Mar,1.0246702352827175,0.3988993796684339
DI,Mar,1.9407393301649174,-0.20609819991632627
PS,Apr,0.486365015524904,0.6744872806880436
JDF,Apr,1.7303770447322153,-0.5985075484002218
SGI,Apr,-0.18890806970831245,1.8299775225213017
SSoG,Apr,0.6772415647900073,0.21493639867188097
CSoG,Apr,0.6682815106864647,0.1385285384052064
NSoG,Apr,0.6815268567603157,0.45436955904411724
DI,Apr,1.2817333004874638,0.17926306766473687
PS,May,1.244390002944878,0.3611287147927197
JDF,May,1.9919580332780762,-1.3761165498063592
SGI,May,1.968297857457882,-1.3176304515038768
SSoG,May,-0.4217381304670289,1.8888143482079902
CSoG,May,0.33514504765106745,1.7843236473116983
NSoG,May,1.328360138601803,1.1947908354794414
DI,May,3.34275837446095,-0.017063580284504942
PS,Jun,1.1044470927365124,0.3776668676269025
JDF,Jun,2.085544845359875,-2.055820531857377
SGI,Jun,1.2490995510840106,0.1724948662647363
SSoG,Jun,-0.04709690570896202,1.6144734363022923
CSoG,Jun,-0.9389154635331656,2.1958807654161636
NSoG,Jun,-0.41869985687177097,1.465641356404832
DI,Jun,1.7923111032669488,0.6711097230622959
PS,Jul,1.3572101759638626,0.23524775473319437
JDF,Jul,1.7447134381541518,-1.2356169702649842
SGI,Jul,1.732475991689453,-1.4144632010233185
SSoG,Jul,-0.31552631960786587,1.917982427126245
CSoG,Jul,-1.300926281308649,2.7695308839701758
NSoG,Jul,-1.8211566732745785,2.439832171307006
DI,Jul,1.9796179359359554,0.580177428125541
PS,Aug,1.282112934058521,0.39147874371072033
JDF,Aug,1.5588480749536426,-0.7597830790132769
SGI,Aug,1.9514122526288622,-1.8084362520049346
SSoG,Aug,-0.8160828053753333,2.343420155034269
CSoG,Aug,0.5378720601676548,1.9746226216482987
NSoG,Aug,-0.5820047132337701,2.1736584684156104
DI,Aug,3.0174399278193813,-0.2513258152011031
PS,Sep,0.5849788316705062,0.3427368476368949
JDF,Sep,1.4421906299206637,-0.5218437852407625
SGI,Sep,1.2956505052365879,-0.19718528760351695
SSoG,Sep,-0.08008010769283246,0.8994684535326389
CSoG,Sep,-2.119866895490026,1.387236236055287
NSoG,Sep,-0.40308182316881414,0.4964725025474143
DI,Sep,3.1539727741036834,-0.16812145836026793
PS,Oct,0.6218930285293078,0.20413150205194108
JDF,Oct,1.6449319180464832,-0.3052385073627314
SGI,Oct,1.2308234829455902,-0.5418238511496883
SSoG,Oct,0.5774378991285002,0.03975911001387411
CSoG,Oct,1.5110806812932853,-0.6108535758941931
NSoG,Oct,0.6372252989667005,0.6615118088909229
DI,Oct,0.4047748738712301,0.6346799631795197
PS,Nov,0.8445415473832603,0.27332541224743023
JDF,Nov,1.096589224709527,0.40002921100233
SGI,Nov,0.8509307757269843,0.2501452872622918
SSoG,Nov,0.8594696972031654,0.14355170652188276
CSoG,Nov,1.2407411612671952,-0.005823336365106346
NSoG,Nov,0.9981865665364857,1.062002497958125
DI,Nov,2.1055388685335767,-0.16161393100739452
PS,Dec,0.8650424608940885,0.3661169842743326
JDF,Dec,1.2258513159617765,0.33909199484517893
SGI,Dec,0.949665599718353,-0.01254913892139542
SSoG,Dec,0.8721521528198177,0.1298234523857844
CSoG,Dec,1.1495724185873986,0.14667895302009049
NSoG,Dec,0.7692372833629,0.99991732425872
DI,Dec,-0.44441232667312497,2.0517299230236894
